# ------------------------------------------------------------------------
# NASA-GSFC Planetary Spectrum Generator (PSG, Villanueva et al. 2018, 2022)
# Atmospheric transmittance spectrum synthesized with PUMAS
# Synthesized on Wed Jan 12 06:37:51 2022
# Spectral unit: Wavelength [um]
# ------------------------------------------------------------------------
# Wave/freq Total H2O CO2 O3 N2O CO CH4 O2 N2 Rayleigh CIA
2.500000000e+00 2.83051e-01 2.83366e-01 9.99690e-01 9.98312e-01 9.99999e-01 9.99999e-01 9.98730e-01 9.99999e-01 9.99999e-01 9.99800e-01 9.99999e-01
2.501666667e+00 1.79772e-01 1.79942e-01 9.99672e-01 9.98512e-01 9.99999e-01 9.99999e-01 9.99166e-01 9.99999e-01 9.99999e-01 9.99800e-01 9.99999e-01
2.503334444e+00 8.94784e-03 8.95269e-03 9.99741e-01 9.98491e-01 9.99999e-01 9.99999e-01 9.98900e-01 9.99999e-01 9.99999e-01 9.99801e-01 9.99999e-01
2.505003334e+00 1.28091e-02 1.28162e-02 9.99715e-01 9.98778e-01 9.99999e-01 9.99999e-01 9.99292e-01 9.99999e-01 9.99999e-01 9.99801e-01 9.99999e-01
2.506673336e+00 1.20323e-01 1.20389e-01 9.99755e-01 9.99040e-01 9.99999e-01 9.99999e-01 9.99372e-01 9.99999e-01 9.99999e-01 9.99802e-01 9.99999e-01
2.508344452e+00 2.00569e-01 2.00755e-01 9.99806e-01 9.99155e-01 9.99999e-01 9.99999e-01 9.98495e-01 9.99999e-01 9.99999e-01 9.99802e-01 9.99999e-01
2.510016681e+00 3.33394e-02 3.33600e-02 9.99816e-01 9.99271e-01 9.99999e-01 9.99999e-01 9.98512e-01 9.99999e-01 9.99999e-01 9.99803e-01 9.99999e-01
2.511690026e+00 3.54138e-03 3.54308e-03 9.99748e-01 9.99374e-01 9.99999e-01 9.99999e-01 9.98897e-01 9.99999e-01 9.99999e-01 9.99803e-01 9.99999e-01
2.513364486e+00 6.62338e-02 6.62825e-02 9.99629e-01 9.99486e-01 9.99999e-01 9.99999e-01 9.98047e-01 9.99999e-01 9.99999e-01 9.99804e-01 9.99999e-01
2.515040062e+00 8.22994e-03 8.23299e-03 9.99641e-01 9.99565e-01 9.99999e-01 9.99999e-01 9.99257e-01 9.99999e-01 9.99999e-01 9.99804e-01 9.99999e-01
2.516716756e+00 5.10117e-09 5.10327e-09 9.99681e-01 9.99643e-01 9.99999e-01 9.99999e-01 9.98022e-01 9.99999e-01 9.99999e-01 9.99805e-01 9.99999e-01
2.518394567e+00 2.93408e-03 2.93556e-03 9.99688e-01 9.99689e-01 9.99999e-01 9.99999e-01 9.98697e-01 9.99999e-01 9.99999e-01 9.99805e-01 9.99999e-01
2.520073497e+00 1.59733e-02 1.59811e-02 9.99774e-01 9.99709e-01 9.99999e-01 9.99999e-01 9.97479e-01 9.99999e-01 9.99999e-01 9.99806e-01 9.99999e-01
2.521753546e+00 4.36976e-02 4.37168e-02 9.99823e-01 9.99732e-01 9.99999e-01 9.99999e-01 9.99320e-01 9.99999e-01 9.99999e-01 9.99807e-01 9.99999e-01
2.523434715e+00 2.94461e-03 2.94579e-03 9.99855e-01 9.99771e-01 9.99999e-01 9.99999e-01 9.99192e-01 9.99999e-01 9.99999e-01 9.99807e-01 9.99999e-01
2.525117004e+00 2.61692e-04 2.61796e-04 9.99892e-01 9.99839e-01 9.99999e-01 9.99999e-01 9.98795e-01 9.99999e-01 9.99999e-01 9.99808e-01 9.99999e-01
2.526800416e+00 2.44881e-05 2.44988e-05 9.99905e-01 9.99848e-01 9.99999e-01 9.99999e-01 9.98583e-01 9.99999e-01 9.99999e-01 9.99808e-01 9.99999e-01
2.528484949e+00 5.44775e-05 5.45019e-05 9.99923e-01 9.99879e-01 9.99998e-01 9.99999e-01 9.98756e-01 9.99999e-01 9.99999e-01 9.99809e-01 9.99999e-01
2.530170606e+00 1.33635e-06 1.33673e-06 9.99932e-01 9.99892e-01 9.99995e-01 9.99999e-01 9.99571e-01 9.99999e-01 9.99999e-01 9.99809e-01 9.99999e-01
2.531857386e+00 2.32452e-14 2.32533e-14 9.99929e-01 9.99879e-01 9.99995e-01 9.99999e-01 9.99128e-01 9.99999e-01 9.99999e-01 9.99810e-01 9.99999e-01
2.533545291e+00 7.00886e-06 7.01129e-06 9.99930e-01 9.99915e-01 9.99994e-01 9.99999e-01 9.99153e-01 9.99999e-01 9.99999e-01 9.99810e-01 9.99999e-01
2.535234321e+00 2.81940e-06 2.82026e-06 9.99934e-01 9.99899e-01 9.99993e-01 9.99999e-01 9.97451e-01 9.99999e-01 9.99999e-01 9.99811e-01 9.99999e-01
2.536924478e+00 8.42965e-07 8.43251e-07 9.99961e-01 9.99921e-01 9.99995e-01 9.99999e-01 9.98149e-01 9.99999e-01 9.99999e-01 9.99811e-01 9.99999e-01
2.538615761e+00 6.60703e-06 6.60902e-06 9.99970e-01 9.99923e-01 9.99995e-01 9.99999e-01 9.99480e-01 9.99999e-01 9.99999e-01 9.99812e-01 9.99999e-01
2.540308171e+00 4.81171e-04 4.81397e-04 9.99977e-01 9.99940e-01 9.99996e-01 9.99999e-01 9.98392e-01 9.99999e-01 9.99999e-01 9.99812e-01 9.99999e-01
2.542001710e+00 2.03174e-13 2.03235e-13 9.99986e-01 9.99940e-01 9.99998e-01 9.99999e-01 9.99338e-01 9.99999e-01 9.99999e-01 9.99813e-01 9.99999e-01
2.543696378e+00 7.45922e-25 7.46127e-25 9.99987e-01 9.99948e-01 9.99927e-01 9.99999e-01 9.98780e-01 9.99999e-01 9.99999e-01 9.99813e-01 9.99999e-01
2.545392175e+00 1.16955e-10 1.16985e-10 9.99989e-01 9.99956e-01 9.99994e-01 9.99999e-01 9.99111e-01 9.99999e-01 9.99999e-01 9.99814e-01 9.99999e-01
2.547089103e+00 1.53126e-10 1.53192e-10 9.99985e-01 9.99964e-01 9.99996e-01 9.99999e-01 9.98884e-01 9.99999e-01 9.99999e-01 9.99814e-01 9.99999e-01
2.548787163e+00 8.08914e-12 8.09275e-12 9.99986e-01 9.99968e-01 9.99996e-01 9.99999e-01 9.98948e-01 9.99999e-01 9.99999e-01 9.99815e-01 9.99999e-01
2.550486354e+00 6.03657e-12 6.03930e-12 9.99986e-01 9.99970e-01 9.99994e-01 9.99999e-01 9.97606e-01 9.99999e-01 9.99999e-01 9.99815e-01 9.99999e-01
2.552186679e+00 5.93618e-19 5.94188e-19 9.99975e-01 9.99979e-01 9.99995e-01 9.99999e-01 9.97389e-01 9.99999e-01 9.99999e-01 9.99816e-01 9.99999e-01
2.553888136e+00 3.12951e-09 3.13079e-09 9.99969e-01 9.99977e-01 9.99994e-01 9.99999e-01 9.97558e-01 9.99999e-01 9.99999e-01 9.99816e-01 9.99999e-01
2.555590728e+00 1.08977e-05 1.09055e-05 9.99961e-01 9.99983e-01 9.99996e-01 9.99999e-01 9.96673e-01 9.99999e-01 9.99999e-01 9.99817e-01 9.99999e-01
2.557294456e+00 3.42023e-06 3.42340e-06 9.99959e-01 9.99987e-01 9.99996e-01 9.99999e-01 9.95631e-01 9.99999e-01 9.99999e-01 9.99817e-01 9.99999e-01
2.558999319e+00 3.15443e-10 3.15729e-10 9.99967e-01 9.99988e-01 9.99997e-01 9.99999e-01 9.91144e-01 9.99999e-01 9.99999e-01 9.99817e-01 9.99999e-01
2.560705318e+00 2.62291e-30 2.62569e-30 9.99974e-01 9.99991e-01 9.99996e-01 9.99999e-01 9.84204e-01 9.99999e-01 9.99999e-01 9.99818e-01 9.99999e-01
2.562412455e+00 2.00502e-73 2.00790e-73 9.99979e-01 9.99992e-01 9.99994e-01 9.99999e-01 9.91163e-01 9.99999e-01 9.99999e-01 9.99818e-01 9.99999e-01
2.564120730e+00 1.20371e-70 1.20444e-70 9.99984e-01 9.99993e-01 9.99991e-01 9.99999e-01 9.96550e-01 9.99999e-01 9.99999e-01 9.99819e-01 9.99999e-01
2.565830144e+00 1.29005e-17 1.29167e-17 9.99985e-01 9.99994e-01 9.99988e-01 9.99999e-01 9.83896e-01 9.99999e-01 9.99999e-01 9.99819e-01 9.99999e-01
2.567540697e+00 2.15990e-17 2.16153e-17 9.99978e-01 9.99996e-01 9.99982e-01 9.99999e-01 9.89212e-01 9.99999e-01 9.99999e-01 9.99820e-01 9.99999e-01
2.569252391e+00 1.53226e-43 1.53321e-43 9.99969e-01 9.99982e-01 9.99975e-01 9.99999e-01 9.88626e-01 9.99999e-01 9.99999e-01 9.99820e-01 9.99999e-01
2.570965226e+00 5.07915e-29 5.08656e-29 9.99952e-01 9.99971e-01 9.99955e-01 9.99999e-01 9.87169e-01 9.99999e-01 9.99999e-01 9.99821e-01 9.99999e-01
2.572679203e+00 1.06774e-29 1.06870e-29 9.99919e-01 9.99974e-01 9.99921e-01 9.99999e-01 9.84543e-01 9.99999e-01 9.99999e-01 9.99821e-01 9.99999e-01
